part_code,supplier_code,unit_price,currency,effective_from,is_current,created_by
MT001,ALMT001,,dong,,TRUE,NGA
MT001,ALMT002,19500 ,dong,,TRUE,NGA
MT001,ALMT003,,dong,,TRUE,NGA
MT001,ALMT004,,dong,,TRUE,NGA
MT001,ALMT005,,dong,,TRUE,NGA
MT001,ALMT006,,dong,,TRUE,NGA
MT001,ALMT007,,dong,,TRUE,NGA
MT001,ALMT008,,dong,,TRUE,NGA
MT002,ALMT001,,dong,,TRUE,NGA
MT002,ALMT002,3300 ,dong,,TRUE,NGA
MT002,ALMT003,,dong,,TRUE,NGA
MT002,ALMT004,,dong,,TRUE,NGA
MT002,ALMT005,,dong,,TRUE,NGA
MT002,ALMT006,,dong,,TRUE,NGA
MT002,ALMT007,,dong,,TRUE,NGA
MT002,ALMT008,,dong,,TRUE,NGA
MT003,ALMT001,,dong,,TRUE,NGA
MT003,ALMT002,,dong,,TRUE,NGA
MT003,ALMT003,,dong,,TRUE,NGA
MT003,ALMT004,85000 ,dong,,TRUE,NGA
MT003,ALMT005,,dong,,TRUE,NGA
MT003,ALMT006,,dong,,TRUE,NGA
MT003,ALMT007,,dong,,TRUE,NGA
MT003,ALMT008,,dong,,TRUE,NGA
MT004,ALMT001,,dong,,TRUE,NGA
MT004,ALMT002,15500 ,dong,,TRUE,NGA
MT004,ALMT003,,dong,,TRUE,NGA
MT004,ALMT004,,dong,,TRUE,NGA
MT004,ALMT005,,dong,,TRUE,NGA
MT004,ALMT006,,dong,,TRUE,NGA
MT004,ALMT007,,dong,,TRUE,NGA
MT004,ALMT008,,dong,,TRUE,NGA
MT005,ALMT001,,dong,,TRUE,NGA
MT005,ALMT002,,dong,,TRUE,NGA
MT005,ALMT003,,dong,,TRUE,NGA
MT005,ALMT004,,dong,,TRUE,NGA
MT005,ALMT005,2200000 ,dong,,TRUE,NGA
MT005,ALMT006,,dong,,TRUE,NGA
MT005,ALMT007,,dong,,TRUE,NGA
MT005,ALMT008,,dong,,TRUE,NGA
MT006,ALMT001,,dong,,TRUE,NGA
MT006,ALMT002,,dong,,TRUE,NGA
MT006,ALMT003,,dong,,TRUE,NGA
MT006,ALMT004,,dong,,TRUE,NGA
MT006,ALMT005,,dong,,TRUE,NGA
